iter	AccuracyMetric	MultiClass
0	0.8695652174	1.090980894
1	0.9565217391	1.085601068
2	1	1.078124218
3	1	1.071839755
4	1	1.066839272
5	1	1.061325713
6	1	1.053319111
7	1	1.048164006
8	1	1.042382293
9	1	1.036223226
10	1	1.030628683
11	1	1.024870032
12	1	1.017523423
13	1	1.010148184
14	1	1.003460742
15	1	0.9986491058
16	1	0.9904527078
17	1	0.98310289
18	1	0.9777726553
19	1	0.9720462434
20	1	0.9671326118
21	1	0.9608573374
22	1	0.9535594508
23	1	0.9491673885
24	1	0.9454297396
25	1	0.938953746
26	1	0.9345855896
27	1	0.928536889
28	1	0.922667865
29	1	0.917616162
30	1	0.9134652997
31	1	0.9077913751
32	1	0.9036379879
33	1	0.8999949449
34	1	0.8939590826
35	1	0.8890164881
36	1	0.8838077107
37	1	0.8788477058
38	1	0.8717855379
39	1	0.8659882036
40	1	0.8614503513
41	1	0.8565652614
42	1	0.8525452881
43	1	0.8479634169
44	1	0.8440343542
45	1	0.841059884
46	1	0.836349121
47	1	0.8307041006
48	1	0.8240520761
49	1	0.8192800328
50	1	0.8163445125
51	1	0.8129402335
52	1	0.806018936
53	1	0.8015692836
54	1	0.7961620976
55	1	0.7925231393
56	1	0.7883325307
57	1	0.7817078962
58	1	0.7780465979
59	1	0.7733445708
60	1	0.7680294356
61	1	0.763964963
62	1	0.7593312715
63	1	0.7545468427
64	1	0.7505340427
65	1	0.7467556147
66	1	0.7428290491
67	1	0.7386688859
68	1	0.7348329973
69	1	0.7311190489
70	1	0.7279162253
71	1	0.7232426587
72	1	0.7191706833
73	1	0.7152723112
74	1	0.7122823493
75	1	0.707725938
76	1	0.7038314371
77	1	0.7011670644
78	1	0.6972100892
79	1	0.693853814
80	1	0.6902194648
81	1	0.6864317961
82	1	0.6828497522
83	1	0.6802951006
84	1	0.6769905286
85	1	0.6739469345
86	1	0.6707171715
87	1	0.6672281439
88	1	0.6637742078
89	1	0.6606972317
90	1	0.6574086091
91	1	0.6537993739
92	1	0.6487584918
93	1	0.6457367512
94	1	0.6421142255
95	1	0.6384721664
96	1	0.6358540881
97	1	0.6319414185
98	1	0.627323413
99	1	0.6241922565
